City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Kelcyre,AL,85.21,clear sky,40.3131,20.1894,The River Hotel
379,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
380,Manokwari,ID,81.59,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
389,Axim,GH,76.75,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
390,Erice,IT,77.95,clear sky,38.037,12.5865,I Mulini Resort
393,Sorong,ID,79.63,broken clouds,-0.8833,131.25,waigo splash hotel
396,Kulhudhuffushi,MV,82.0,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
399,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
400,Tutoia,BR,77.9,clear sky,-2.7619,-42.2744,Pousada Guará's
401,Mancio Lima,BR,86.07,clear sky,-7.6142,-72.8958,Hotel e Distribuidora Voyage
403,Westport,US,81.91,clear sky,41.1415,-73.3579,The Westport Inn
404,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
405,Chavinda,MX,78.15,few clouds,20.0167,-102.45,casa del que anuncia
409,Indramayu,ID,77.18,broken clouds,-6.3264,108.32,Grand Trisula Hotel
413,Hambantota,LK,79.23,overcast clouds,6.1241,81.1185,Bungalow 63
415,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
420,Phangnga,TH,84.9,overcast clouds,8.4509,98.5298,Sunimit Mansion
425,Itarema,BR,76.66,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
431,Natal,BR,77.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
433,Riachao,BR,76.33,few clouds,-7.3619,-46.6172,Pousada Nordestina
435,Kavieng,PG,83.48,light rain,-2.5744,150.7967,Nusa Island Retreat
438,Sur,OM,87.98,broken clouds,22.5667,59.5289,Sur Plaza Hotel
443,El Pino,HN,87.48,broken clouds,15.7,-86.9333,The Lodge & Spa at Pico Bonito
449,Popondetta,PG,82.76,broken clouds,-8.7537,148.2534,Timos Transit House
