City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kapaa,22.0752,-159.319,88.12,67,90,4.0,US,2021-07-30 23:11:55
68,Kavaratti,10.5669,72.642,82.17,78,100,15.66,IN,2021-07-30 23:11:55
69,Ketchikan,55.3422,-131.6461,77.47,50,1,3.44,US,2021-07-30 23:11:55
70,Churapcha,62.0025,132.4325,66.78,37,16,3.0,RU,2021-07-30 23:11:56
71,Aktash,50.3,87.7333,41.94,93,100,3.02,RU,2021-07-30 23:11:56
72,Akyab,20.15,92.9,80.58,88,96,11.03,MM,2021-07-30 23:11:56
73,Dingle,10.9995,122.6711,81.12,85,99,8.16,PH,2021-07-30 23:11:56
74,Conceicao Do Araguaia,-8.2578,-49.2647,80.47,31,79,4.32,BR,2021-07-30 23:11:57
75,Puerto Ayora,-0.7393,-90.3518,69.55,97,68,1.99,EC,2021-07-30 23:11:57
76,Barrow,71.2906,-156.7887,51.82,87,90,9.22,US,2021-07-30 23:11:57
77,Wanlaweyn,2.6185,44.8938,72.55,80,100,14.43,SO,2021-07-30 23:11:58
78,Busselton,-33.65,115.3333,42.04,73,96,11.52,AU,2021-07-30 23:11:58
79,Mlonggo,-6.5333,110.7,76.89,81,4,5.79,ID,2021-07-30 23:07:48
80,Hobyo,5.3505,48.5268,76.39,77,100,24.09,SO,2021-07-30 23:09:16
81,Ostrovnoy,68.0531,39.5131,44.4,94,99,7.9,RU,2021-07-30 23:11:58
82,Faanui,-16.4833,-151.75,77.61,73,70,17.45,PF,2021-07-30 23:11:58
83,Tuktoyaktuk,69.4541,-133.0374,54.55,83,98,9.04,CA,2021-07-30 23:11:59
84,Hermanus,-34.4187,19.2345,52.9,84,0,2.64,ZA,2021-07-30 23:11:59
85,Myitkyina,25.3833,97.4,74.66,99,100,0.25,MM,2021-07-30 23:11:59
86,Khatanga,71.9667,102.5,76.37,45,23,12.5,RU,2021-07-30 23:12:00
87,Wahiawa,21.5028,-158.0236,86.32,59,75,11.5,US,2021-07-30 23:12:00
88,Manado,1.487,124.8455,77.77,94,20,1.14,ID,2021-07-30 23:08:41
89,Sinnamary,5.3833,-52.95,78.78,82,13,6.31,GF,2021-07-30 23:12:00
90,Lebedinyy,58.5167,125.5167,50.13,76,76,6.13,RU,2021-07-30 23:12:01
91,Teya,60.3778,92.6267,57.15,74,99,3.22,RU,2021-07-30 23:12:01
92,Mandalgovi,45.7625,106.2708,53.71,84,2,19.33,MN,2021-07-30 23:12:02
93,Portland,45.5234,-122.6762,104.52,31,12,7.96,US,2021-07-30 23:07:42
94,Buchanan,5.8808,-10.0467,78.76,86,35,8.57,LR,2021-07-30 23:12:02
95,Tual,-5.6667,132.75,80.73,81,89,17.67,ID,2021-07-30 23:12:02
96,Edson,53.5835,-116.4356,82.51,33,0,6.06,CA,2021-07-30 23:12:03
97,Jamestown,42.097,-79.2353,68.72,59,40,4.0,US,2021-07-30 23:07:51
98,Airai,-8.9266,125.4092,61.81,62,52,2.39,TL,2021-07-30 23:07:15
99,Ilulissat,69.2167,-51.1,59.02,38,73,10.36,GL,2021-07-30 23:12:03
100,Huron,41.1501,-82.5499,74.32,68,66,7.38,US,2021-07-30 23:12:03
101,Poum,-20.2333,164.0167,70.66,57,0,24.54,NC,2021-07-30 23:12:04
102,Sredniy Ikorets,51.0675,39.7584,68.13,87,66,4.72,RU,2021-07-30 23:12:04
103,Torbay,47.6666,-52.7314,61.29,83,97,13.85,CA,2021-07-30 23:12:04
104,Pevek,69.7008,170.3133,33.01,89,100,12.17,RU,2021-07-30 23:12:04
105,Muborak,39.2553,65.1528,76.19,24,13,15.01,UZ,2021-07-30 23:12:05
106,Yellowknife,62.456,-114.3525,74.28,53,95,10.0,CA,2021-07-30 23:11:01
107,Berlevag,70.8578,29.0864,45.63,89,76,10.04,NO,2021-07-30 23:12:05
108,Arraial Do Cabo,-22.9661,-42.0278,63.91,65,91,18.66,BR,2021-07-30 23:07:07
109,Cururupu,-1.8283,-44.8683,74.43,96,15,2.84,BR,2021-07-30 23:12:05
110,Medicine Hat,50.0501,-110.6683,91.22,23,9,5.01,CA,2021-07-30 23:11:44
111,Shingu,33.7333,135.9833,83.39,64,7,2.04,JP,2021-07-30 23:12:06
112,Cidreira,-30.1811,-50.2056,50.38,75,0,5.64,BR,2021-07-30 23:12:06
113,Hudson Bay,52.85,-102.3842,86.27,20,5,10.83,CA,2021-07-30 23:12:06
114,Dikson,73.5069,80.5464,43.29,98,98,7.56,RU,2021-07-30 23:12:06
115,Bredasdorp,-34.5322,20.0403,50.83,91,2,3.29,ZA,2021-07-30 23:12:07
116,Kaitangata,-46.2817,169.8464,54.93,83,97,4.81,NZ,2021-07-30 23:12:07
117,Abu Dhabi,24.4667,54.3667,93.22,79,37,3.44,AE,2021-07-30 23:09:41
118,Luderitz,-26.6481,15.1594,67.55,30,0,6.82,NA,2021-07-30 23:11:14
119,Longyearbyen,78.2186,15.6401,39.04,70,40,19.57,SJ,2021-07-30 23:12:07
120,Sur,22.5667,59.5289,90.39,55,98,16.71,OM,2021-07-30 23:12:08
121,Kayerkan,69.3497,87.7602,57.09,89,100,3.53,RU,2021-07-30 23:12:08
122,Hithadhoo,-0.6,73.0833,80.73,77,94,6.22,MV,2021-07-30 23:12:08
123,Puerto Carreno,6.189,-67.4859,78.55,84,41,6.85,CO,2021-07-30 23:12:08
124,Shelburne,44.0787,-80.2041,64.56,42,0,10.38,CA,2021-07-30 23:11:57
125,Tautira,-17.7333,-149.15,82.42,69,57,16.87,PF,2021-07-30 23:12:09
126,Barcelos,41.5388,-8.6151,66.29,87,62,8.28,PT,2021-07-30 23:12:09
127,Pangnirtung,66.1451,-65.7125,58.71,59,88,3.13,CA,2021-07-30 23:12:09
128,Kruisfontein,-34.0033,24.7314,50.54,78,6,5.39,ZA,2021-07-30 23:12:10
129,Santa Paula,34.3542,-119.0593,105.03,62,1,5.01,US,2021-07-30 23:12:10
130,Souillac,-20.5167,57.5167,66.36,64,60,15.84,MU,2021-07-30 23:12:10
131,Tiksi,71.6872,128.8694,47.62,75,51,7.78,RU,2021-07-30 23:12:10
132,Emilio Carranza,19.9711,-96.6114,84.36,70,53,8.03,MX,2021-07-30 23:12:11
133,Alofi,-19.0595,-169.9187,77.32,79,93,20.42,NU,2021-07-30 23:12:11
134,Cape Town,-33.9258,18.4232,53.28,92,0,5.75,ZA,2021-07-30 23:12:11
135,Healdsburg,38.6105,-122.8692,109.36,38,1,5.01,US,2021-07-30 23:11:02
136,Chillicothe,39.3331,-82.9824,83.52,51,1,5.01,US,2021-07-30 23:12:12
137,Ghanzi,-21.5667,21.7833,50.36,30,0,9.01,BW,2021-07-30 23:12:12
138,Jalu,29.0331,21.5482,86.5,28,10,8.34,LY,2021-07-30 23:12:12
139,Victoria,22.2855,114.1577,84.38,91,85,1.01,HK,2021-07-30 23:11:16
140,Arosa,46.7779,9.6762,49.86,91,98,0.78,CH,2021-07-30 23:12:13
141,Quatre Cocos,-20.2078,57.7625,66.09,65,60,16.8,MU,2021-07-30 23:12:13
142,Sioux Lookout,50.1001,-91.917,65.57,67,100,1.34,CA,2021-07-30 23:12:13
143,Zanjan,36.6736,48.4787,61.95,80,53,6.44,IR,2021-07-30 23:12:13
144,Bengkulu,-3.8004,102.2655,74.41,91,24,5.21,ID,2021-07-30 23:12:14
145,Pulandian,39.3953,121.9669,75.33,93,98,10.09,CN,2021-07-30 23:12:14
146,Aranos,-24.1333,19.1167,50.56,27,0,9.93,NA,2021-07-30 23:12:14
147,Tuatapere,-46.1333,167.6833,49.82,95,100,4.12,NZ,2021-07-30 23:09:17
148,Chuy,-33.6971,-53.4616,45.37,76,0,6.38,UY,2021-07-30 23:12:14
149,Yining,29.0361,114.5636,79.74,83,0,0.31,CN,2021-07-30 23:12:15
150,Tambovka,50.0969,128.0489,60.91,98,100,9.53,RU,2021-07-30 23:12:15
151,Touros,-5.1989,-35.4608,77.9,79,41,16.46,BR,2021-07-30 23:12:15
152,Fortuna,40.5982,-124.1573,61.72,80,20,16.11,US,2021-07-30 23:12:16
153,Laon,49.5667,3.6667,62.85,83,25,8.86,FR,2021-07-30 23:12:16
154,San Patricio,28.017,-97.5169,95.72,52,79,13.42,US,2021-07-30 23:12:16
155,Atherton,53.5237,-2.4935,59.43,95,100,1.99,GB,2021-07-30 23:12:16
156,Adilabad,19.6667,78.5333,75.29,76,100,14.5,IN,2021-07-30 23:12:17
157,Saint-Joseph,-21.3667,55.6167,66.58,74,45,15.26,RE,2021-07-30 23:12:17
158,Purpe,64.4803,76.6897,49.44,79,96,7.54,RU,2021-07-30 23:12:17
159,Bata,1.8639,9.7658,75.97,87,50,7.47,GQ,2021-07-30 23:12:18
160,Tadine,-21.55,167.8833,70.3,50,4,21.56,NC,2021-07-30 23:12:18
161,Isangel,-19.55,169.2667,72.7,60,93,17.56,VU,2021-07-30 23:12:18
162,Praia Da Vitoria,38.7333,-27.0667,72.75,82,9,6.62,PT,2021-07-30 23:12:18
163,Bilma,18.6853,12.9164,94.86,31,4,10.36,NE,2021-07-30 23:12:19
164,Pontes E Lacerda,-15.2261,-59.3353,65.71,29,1,4.85,BR,2021-07-30 23:12:19
165,Talnakh,69.4865,88.3972,58.5,90,100,6.33,RU,2021-07-30 23:12:19
166,Kaeo,-35.1,173.7833,62.33,84,100,17.25,NZ,2021-07-30 23:10:09
167,Beyneu,45.3167,55.2,81.95,15,9,8.77,KZ,2021-07-30 23:12:20
168,Sao Felix Do Xingu,-6.6447,-51.995,78.76,39,99,2.13,BR,2021-07-30 23:12:20
169,Acapulco,16.8634,-99.8901,87.62,62,75,4.61,MX,2021-07-30 23:12:20
170,Hasaki,35.7333,140.8333,79.29,77,2,12.15,JP,2021-07-30 23:09:19
171,Borogontsy,62.6683,131.1683,67.5,41,50,4.34,RU,2021-07-30 23:12:20
172,Nemuro,43.3236,145.575,68.18,96,88,6.6,JP,2021-07-30 23:12:21
173,Tsaratanana,-16.7833,47.65,64.69,72,2,12.53,MG,2021-07-30 23:12:21
174,Strezhevoy,60.7333,77.5889,51.78,89,48,6.71,RU,2021-07-30 23:12:21
175,Georgetown,5.4112,100.3354,76.95,92,20,0.0,MY,2021-07-30 23:12:22
176,Dongsheng,39.8161,109.9776,70.9,37,0,14.76,CN,2021-07-30 23:12:22
177,Yarmouth,41.7057,-70.2286,77.34,71,75,4.0,US,2021-07-30 23:12:22
178,Hobart,-42.8794,147.3294,55.26,77,75,1.99,AU,2021-07-30 23:12:00
179,Lagoa,39.05,-27.9833,70.56,86,7,5.91,PT,2021-07-30 23:10:38
180,Chapais,49.7834,-74.8492,50.29,77,99,10.27,CA,2021-07-30 23:12:23
181,Timbiqui,2.7717,-77.6654,78.73,88,96,3.36,CO,2021-07-30 23:12:23
182,Konosha,60.9736,40.257,57.45,96,100,2.44,RU,2021-07-30 23:12:23
183,Salalah,17.0151,54.0924,77.09,94,90,11.5,OM,2021-07-30 23:12:23
184,Avarua,-21.2078,-159.775,77.05,65,100,16.11,CK,2021-07-30 23:12:24
185,Orcopampa,-15.2661,-72.3417,47.82,48,16,4.68,PE,2021-07-30 23:12:24
186,Coruripe,-10.1256,-36.1756,73.18,81,3,8.32,BR,2021-07-30 23:12:24
187,Yar-Sale,66.8333,70.8333,47.23,95,100,16.51,RU,2021-07-30 23:09:52
188,Kavieng,-2.5744,150.7967,83.53,74,67,8.08,PG,2021-07-30 23:12:25
189,Kutum,14.2,24.6667,72.36,73,92,12.35,SD,2021-07-30 23:12:25
190,Turukhansk,65.8167,87.9833,56.52,89,98,7.74,RU,2021-07-30 23:12:25
191,Malanje,-9.5402,16.341,67.68,29,0,3.6,AO,2021-07-30 23:12:25
192,Jijiga,9.35,42.8,60.89,78,98,21.5,ET,2021-07-30 23:12:26
193,Kenai,60.5544,-151.2583,61.03,73,90,3.44,US,2021-07-30 23:12:26
194,Burnie,-41.0667,145.9167,52.66,91,100,14.05,AU,2021-07-30 23:12:26
195,Kununurra,-15.7667,128.7333,66.18,88,15,0.0,AU,2021-07-30 23:12:27
196,Lavrentiya,65.5833,-171.0,45.23,90,99,6.53,RU,2021-07-30 23:12:27
197,Moose Factory,51.2585,-80.6094,56.68,56,17,5.99,CA,2021-07-30 23:12:27
198,Littleton,39.6133,-105.0166,98.69,31,40,1.01,US,2021-07-30 23:10:00
199,Broome,42.2506,-75.833,66.69,65,1,4.0,US,2021-07-30 23:12:27
200,Kpandae,8.4689,-0.0113,76.35,80,99,4.83,GH,2021-07-30 23:12:28
201,Plouzane,48.3833,-4.6167,60.85,85,75,6.91,FR,2021-07-30 23:12:28
202,Bonavista,48.6499,-53.1147,64.11,74,100,14.2,CA,2021-07-30 23:12:28
203,Rawson,-43.3002,-65.1023,51.58,37,100,17.58,AR,2021-07-30 23:08:09
204,Kloulklubed,7.0419,134.2556,81.1,73,100,4.03,PW,2021-07-30 23:12:29
205,Novoilinsk,51.6829,108.7143,57.31,88,92,2.13,RU,2021-07-30 23:12:29
206,Vila Velha,-20.3297,-40.2925,67.95,60,75,10.36,BR,2021-07-30 23:10:42
207,Grindavik,63.8424,-22.4338,55.87,94,0,4.61,IS,2021-07-30 23:12:29
208,Ulladulla,-35.35,150.4667,56.88,40,96,5.08,AU,2021-07-30 23:12:30
209,Mount Gambier,-37.8333,140.7667,52.25,91,69,7.85,AU,2021-07-30 23:12:30
210,Victoria Point,-27.5833,153.3,66.09,75,1,4.34,AU,2021-07-30 23:12:30
211,Norman Wells,65.282,-126.8329,83.32,34,31,4.85,CA,2021-07-30 23:12:30
212,Vila Franca Do Campo,37.7167,-25.4333,70.21,88,11,5.48,PT,2021-07-30 23:12:31
213,Sorong,-0.8833,131.25,79.93,84,86,5.59,ID,2021-07-30 23:12:31
214,Vengerovo,55.6848,76.7471,61.39,44,95,14.63,RU,2021-07-30 23:12:31
215,Komsomolskiy,40.4272,71.7189,71.02,31,48,5.03,UZ,2021-07-30 23:12:31
216,Basco,20.4487,121.9702,83.37,86,100,26.31,PH,2021-07-30 23:12:32
217,Cardoso,-20.0819,-49.9142,59.58,15,23,7.31,BR,2021-07-30 23:12:32
218,Warrington,53.3925,-2.5802,60.01,94,40,3.0,GB,2021-07-30 23:12:32
219,Nishihara,26.1842,127.7558,83.48,95,75,6.91,JP,2021-07-30 23:10:02
220,Sao Joao Da Barra,-21.6403,-41.0511,62.02,63,25,15.59,BR,2021-07-30 23:12:33
221,Biltine,14.5333,20.9167,76.05,76,100,25.93,TD,2021-07-30 23:12:33
222,Nhulunbuy,-12.2333,136.7667,75.81,100,39,5.75,AU,2021-07-30 23:12:33
223,Aklavik,68.2191,-135.0107,73.94,42,89,17.34,CA,2021-07-30 23:12:33
224,Namibe,-15.1961,12.1522,67.39,82,36,5.1,AO,2021-07-30 23:12:34
225,Mnogovershinnyy,53.9353,139.9242,47.44,93,100,4.68,RU,2021-07-30 23:12:13
226,Constitucion,-35.3333,-72.4167,52.66,85,64,11.14,CL,2021-07-30 23:12:34
227,Pochutla,15.7432,-96.4661,89.82,64,88,5.86,MX,2021-07-30 23:12:34
228,Puqi,29.7167,113.8833,81.55,78,0,2.13,CN,2021-07-30 23:12:35
229,Thompson,55.7435,-97.8558,75.7,29,23,14.9,CA,2021-07-30 23:12:35
230,Nantucket,41.2835,-70.0995,76.03,73,90,8.05,US,2021-07-30 23:12:33
231,Fairbanks,64.8378,-147.7164,73.09,57,90,5.75,US,2021-07-30 23:12:35
232,Carman,49.4992,-98.0016,89.71,27,79,12.48,CA,2021-07-30 23:12:36
233,Ponta Do Sol,32.6667,-17.1,72.23,78,9,5.28,PT,2021-07-30 23:12:36
234,Noumea,-22.2763,166.4572,72.0,99,9,15.75,NC,2021-07-30 23:12:36
235,Labuhan,-6.8844,112.2051,76.05,84,4,5.57,ID,2021-07-30 23:12:36
236,Kushmurun,52.4503,64.6311,64.85,62,86,10.65,KZ,2021-07-30 23:12:37
237,Deputatskiy,69.3,139.9,63.37,35,76,12.86,RU,2021-07-30 23:12:37
238,Pauini,-7.7136,-66.9764,74.08,43,9,1.32,BR,2021-07-30 23:12:37
239,Port Moresby,-9.4431,147.1797,78.28,84,92,2.33,PG,2021-07-30 23:12:38
240,Klyuchi,52.2667,79.1667,57.29,52,15,5.64,RU,2021-07-30 23:12:38
241,Shenjiamen,29.9576,122.298,79.2,94,94,14.25,CN,2021-07-30 23:12:38
242,Tabuk,17.4189,121.4443,79.48,79,99,1.41,PH,2021-07-30 23:12:38
243,Teahupoo,-17.8333,-149.2667,76.96,69,68,16.11,PF,2021-07-30 23:12:39
244,Seddon,-37.8068,144.8916,57.31,61,20,24.16,AU,2021-07-30 23:12:39
245,Bandarbeyla,9.4942,50.8122,76.53,72,31,23.91,SO,2021-07-30 23:12:39
246,Dwarka,22.2394,68.9678,81.7,84,100,24.25,IN,2021-07-30 23:12:39
247,Nanortalik,60.1432,-45.2371,44.6,86,100,11.07,GL,2021-07-30 23:12:40
248,Mecca,21.4267,39.8261,88.7,25,85,2.86,SA,2021-07-30 23:08:14
249,Agirish,61.9247,63.0231,47.75,91,72,5.32,RU,2021-07-30 23:12:40
250,Awjilah,29.1081,21.2869,86.77,27,4,9.62,LY,2021-07-30 23:12:40
251,Dunedin,-45.8742,170.5036,53.8,73,97,5.99,NZ,2021-07-30 23:12:41
252,Kahului,20.8947,-156.47,87.96,66,40,26.46,US,2021-07-30 23:11:13
